outer_test_subject,transition_weight,n1_emission_boost,mean_macro_f1,mean_balanced_accuracy,mean_n1_f1,mean_min_class_f1,std_macro_f1,selected
SC404,1.0,1.75,0.6552033567896568,0.6817986691956847,0.3163402762415962,0.2728812961972503,0.10210148267883112,False
SC405,0.25,1.2,0.6534470551593806,0.6778618299652321,0.39221661501870375,0.39221661501870375,0.09812758271430942,True
SC405,0.25,1.1,0.6532706890145927,0.6764203213534666,0.3701191153842574,0.36865087044913336,0.10227417237811315,False
SC405,0.25,1.35,0.6515650402671372,0.6765743688466164,0.39367899239166276,0.39367899239166276,0.09094956028097331,False
SC405,0.25,1.0,0.6504197647070519,0.6737250347890005,0.351820635504846,0.351820635504846,0.09911028068756249,False
SC405,0.5,1.35,0.650117843057863,0.6751770653292468,0.37740964479923805,0.3758445305116417,0.10399178941748033,False
SC405,0.5,1.2,0.6481563382920873,0.6728122277564015,0.37172038995401013,0.37172038995401013,0.10861888388493199,False
SC405,0.75,1.35,0.6465604352659318,0.670836709720344,0.3758850877467011,0.3752764772309698,0.1100199312604827,False
SC405,0.5,1.5,0.6453274683484529,0.6712417003708967,0.3856406407419275,0.3689977835990703,0.10413635663492588,False
SC405,0.5,1.1,0.6452425075248113,0.6703957634853976,0.3524100353001536,0.3524100353001536,0.10771376956035807,False
SC405,0.25,1.5,0.6439636657207827,0.6710709787542536,0.39660798562474264,0.38126711831907745,0.09053925931378634,False
SC405,1.0,1.5,0.6406913084965901,0.6617623570142197,0.369445461328741,0.36315374480168344,0.09994054372834646,False
SC405,0.75,1.2,0.6402580308801108,0.6663442541766771,0.3393230277812802,0.3393230277812802,0.10881469826342133,False
SC405,0.75,1.5,0.6401766427260022,0.6691405625237417,0.36033629655956184,0.32738560590309895,0.11086288943944063,False
SC405,0.5,1.0,0.6384109949824913,0.6631653059628813,0.31396407449975133,0.31396407449975133,0.10162940336323278,False
SC405,1.0,1.35,0.6368009995196985,0.6583930513504532,0.34572788804244337,0.34498466990792087,0.10071328979556236,False
SC405,0.75,1.1,0.6343683656360051,0.6598800597926886,0.3094966866152267,0.3094966866152267,0.10062134165195176,False
SC405,0.75,1.75,0.6315987303597792,0.6591914039647869,0.3661230808771408,0.33273332630950997,0.11427809542154756,False
SC405,0.25,1.75,0.6311120172156861,0.6623184544888072,0.39272697719088356,0.36081284481163495,0.09022402601328725,False
SC405,0.75,1.0,0.6309858911091193,0.6574156587445866,0.2952670662841985,0.2952670662841985,0.09955348911984718,False
SC405,1.0,1.2,0.6291575858560621,0.6503494939007812,0.30160422858000124,0.30160422858000124,0.09428025260902137,False
SC405,0.5,1.75,0.6289015837007755,0.6578407430361544,0.3822097568790389,0.34724513423752945,0.0960731869863856,False
SC405,1.0,1.1,0.6248148726049109,0.6469893444457531,0.284644756347285,0.284644756347285,0.09453063630289286,False
SC405,1.0,1.0,0.6247990427810156,0.6468087109529262,0.2731158889130656,0.2731158889130656,0.09483947432817642,False
SC405,1.0,1.75,0.6247646423170183,0.6486298961790878,0.3530337213549825,0.3157003880216491,0.11046010505503329,False
