target_stage,comparison_stage,feature,n1_count,comparison_count,n1_mean,comparison_mean,cohens_d,abs_cohens_d,symmetric_auc,overlap_coefficient,discriminability_score,pair_rank
N1,REM,current_alpha,683,1322,0.059295535243117696,0.049184411855752626,0.27051114511790525,0.27051114511790525,0.5468388328611647,0.8908526280115978,0.10924497902653096,29
N1,REM,current_sigma,683,1322,0.020610955588183228,0.015512731990269217,0.52455116211846,0.52455116211846,0.638775492122278,0.790152238389414,0.2594277187621642,11
N1,REM,current_beta,683,1322,0.05373006153657762,0.03463582788644339,0.6141930933957969,0.6141930933957969,0.6661221406848401,0.7604565601167759,0.30615979267085447,7
N1,REM,current_rms,683,1322,1.0293088306603406e-05,1.010974613775162e-05,0.047783883381818354,0.047783883381818354,0.5350925768003136,0.8605467114691568,0.07015081701375502,36
N1,REM,current_std,683,1322,1.0266623593595498e-05,1.0078923755699686e-05,0.04884245577501688,0.04884245577501688,0.5343926301823183,0.8628647308860304,0.06914605237136474,37
N1,REM,current_peak_to_peak,683,1322,8.411701124642787e-05,8.177159574329424e-05,0.06211274491926229,0.06211274491926229,0.5232759938245216,0.8493719308116058,0.0627185194000898,40
N1,REM,current_zero_crossing_rate,683,1322,0.13391898487066858,0.12005068078668679,0.38683698556931256,0.38683698556931256,0.5956230078655393,0.8490286025654372,0.18384283518784877,21
N1,REM,current_spectral_entropy,683,1322,4.5440832054102405,4.553845747984843,-0.013873652068938966,0.013873652068938966,0.5006512161572487,0.8822184763756942,0.026288568692450737,45
N1,REM,current_dominant_frequency,683,1322,0.6654465592972182,0.5822617246596067,0.1559128969265127,0.1559128969265127,0.5229952399199935,0.9470920097549521,0.05696377250798001,42
N1,REM,current_sef90,683,1322,9.166910688140556,7.473335854765507,0.460783864148025,0.460783864148025,0.6113601779104821,0.7555724389374101,0.22936326974520388,16
N1,REM,current_delta_theta_ratio,683,1322,7.827261535433619,5.422458210225443,0.37193046859857865,0.37193046859857865,0.590706215127264,0.8508847901156905,0.17631882739391264,22
N1,REM,current_alpha_theta_ratio,683,1322,0.4564178554988908,0.2999402889713241,0.6593350709862007,0.6593350709862007,0.6818809071839775,0.7369352527228143,0.3333941172873448,6
N1,REM,current_sigma_theta_ratio,683,1322,0.1701519803655737,0.09664556167605769,0.9414787325898304,0.9414787325898304,0.7581894861815919,0.6210697222142235,0.4751973516272217,3
