outer_test_subject,top_k,transition_weight,n1_emission_boost,mean_macro_f1,mean_n1_f1,mean_min_class_f1,mean_balanced_accuracy,std_macro_f1,selected
SC401,5,0.25,1.35,0.7220616440641191,0.3417471335193386,0.3417471335193386,0.723674036384237,0.025140191533741474,False
SC401,15,0.25,1.75,0.7214654873423862,0.39316230555957044,0.39316230555957044,0.7246057957021866,0.045625309513160996,False
SC401,20,0.5,1.5,0.720732821476658,0.31767552851951186,0.31767552851951186,0.7241865528875111,0.027850711295282812,False
SC401,15,0.75,1.5,0.7202963665646918,0.302531542066625,0.302531542066625,0.7204222198791596,0.023162363735573867,False
SC401,10,0.75,1.75,0.7202232502042262,0.31424362038117587,0.31424362038117587,0.717755177515355,0.026060151560044695,False
SC401,5,0.5,1.5,0.7197911180050582,0.31941444619055936,0.31941444619055936,0.7188329942259338,0.03047777687154985,False
SC401,20,0.25,1.2,0.7197332467338536,0.31126360941454795,0.31126360941454795,0.7217572042293677,0.026867585232600116,False
SC401,15,0.25,1.5,0.7196171424554743,0.35462159039317875,0.35462159039317875,0.7203731880149045,0.030110785123591617,False
SC401,5,0.25,1.75,0.7194854299834033,0.38921933255426944,0.38921933255426944,0.7220619950357016,0.044991948722822216,False
SC401,5,0.75,1.5,0.7189006864755918,0.30163216863036785,0.30163216863036785,0.719208945381894,0.025280509778262166,False
SC401,20,0.75,1.35,0.7187972593132951,0.2787608122502531,0.2787608122502531,0.7237841561035416,0.023839591727950665,False
SC401,15,0.75,1.75,0.7187671534463014,0.3198062973473478,0.3198062973473478,0.7168952138446729,0.028879984985647724,False
SC401,20,1.0,1.75,0.718741200524285,0.30591926271764586,0.30591926271764586,0.7189346954294027,0.024260020919542723,False
SC401,20,0.25,1.1,0.7183820732338204,0.2976029534535888,0.2976029534535888,0.7212403042388329,0.02797110573180371,False
SC401,10,0.75,1.5,0.7182437919009768,0.28720618311041046,0.28720618311041046,0.7178726098340797,0.018673876046763748,False
SC401,15,0.25,1.35,0.7176867797904624,0.33468859033725107,0.33468859033725107,0.7192127542077836,0.0243484234469323,False
SC401,0,0.25,1.75,0.7176716562825181,0.3781142326734236,0.3781142326734236,0.7184175038854461,0.04641395799028116,False
SC401,0,0.25,1.5,0.7160547843079375,0.34444009012800897,0.34444009012800897,0.7173617887658379,0.026086509313135702,False
SC401,15,0.5,1.35,0.7159545599865906,0.2901017411623975,0.2901017411623975,0.7191661492348399,0.01674877163898433,False
SC401,5,0.75,1.35,0.7155771886958142,0.2772864679066852,0.2772864679066852,0.7174318026474958,0.02446663261816085,False
SC401,5,0.5,1.35,0.7155080519691339,0.29259442124858326,0.29259442124858326,0.7180464614629262,0.01773688899413299,False
SC401,10,0.25,1.35,0.7150359515776343,0.31912251269181563,0.31912251269181563,0.7168128796364428,0.020020650986442592,False
SC401,15,0.25,1.2,0.7148981499117101,0.3009066450845504,0.3009066450845504,0.7185512029088714,0.026025728701371115,False
SC401,0,0.5,1.75,0.7145574256809218,0.3279514947846631,0.3279514947846631,0.7164850396525299,0.030353969633073727,False
SC401,5,0.25,1.2,0.7140829393580852,0.29140820018189456,0.29140820018189456,0.717118453403815,0.025070737097615158,False
SC401,20,0.5,1.35,0.7137755543659994,0.28727270039968245,0.28727270039968245,0.7181197103234636,0.02066834769106822,False
